ID,Erfassungsdatum,Besuch,Telefon,Mail,Passant/in,Mann,Frau,unter 55,über 55,über 80,selbst betroffen,Angehörige Nachbarn und andere,Institution,Vormittag,Nachmittag,länger als 20 Minuten,Bildung,Arbeit,Migrationshintergrund,Finanzen,Frauen Männer jung und alt,Gesundheit,Wohnen,Austausch und Freizeit,Migration und Integration,Notlagen,Allgemeine Hilfeleistungen,Recht,Flyer/Plakat/Presse,Internet,empfohlen Freunde Bekannte,empfohlen Institution,empfohlen Fachperson,War schon mal hier,Andere,11:00 - 11:30,11:30 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,Bearbeitet von,Andere Bem
83,2026-01-16 00:00:00,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,True,False,False,False,False,False,False,Marco,
84,2026-01-16 00:00:00,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,False,False,False,False,False,True,False,Hermelinda,
85,2026-01-16 00:00:00,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,,False,False,False,False,False,False,True,Hermelinda,
86,2026-01-16 00:00:00,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,,False,False,False,False,False,True,False,Hermelinda,
87,2026-01-19 00:00:00,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,True,False,False,False,False,False,False,Marco,
88,2026-01-19 00:00:00,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,,True,False,False,False,False,False,False,Marco,
89,2026-01-19 00:00:00,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,Antonina,
90,2026-01-19 00:00:00,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,,True,False,False,False,False,False,False,Hermelinda,
91,2026-01-19 00:00:00,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,True,False,False,False,False,False,False,Antonina,
92,2026-01-19 00:00:00,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,False,False,True,False,False,False,False,Marco,
93,2026-01-19 00:00:00,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,,False,False,False,True,False,False,False,Antonina,
94,2026-01-19 00:00:00,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,True,False,False,Daniela,
95,2026-01-20 00:00:00,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,,True,False,False,False,False,False,False,Sophia,Zufall
96,2026-01-20 00:00:00,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,True,False,False,False,False,False,False,Ursula von Gunten,
97,2026-01-20 00:00:00,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,False,True,False,False,False,False,False,Renata,
98,2026-01-20 00:00:00,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,,False,True,False,False,False,False,False,Renata,
99,2026-01-20 00:00:00,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,,False,True,False,False,False,False,False,Renata,
100,2026-01-20 00:00:00,True,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,,False,False,False,True,False,False,False,Renata,
101,2026-01-20 00:00:00,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,,False,False,False,True,False,False,False,Felix,
102,2026-01-20 00:00:00,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,False,False,False,True,False,False,False,Tosca,
103,2026-01-20 00:00:00,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,False,False,False,True,False,False,False,Tosca,
104,2026-01-20 00:00:00,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,True,False,False,False,Tosca,
105,2026-01-20 00:00:00,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,False,True,Felix,
106,2026-01-21 00:00:00,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,Falco,
107,2026-01-21 00:00:00,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,Falco,
108,2026-01-21 00:00:00,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,,True,False,False,False,False,False,False,Falco,
109,2026-01-21 00:00:00,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,True,False,False,False,Sophia,Tramwerbung
110,2026-01-21 00:00:00,False,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,,False,False,False,False,False,True,False,Angelika,
111,2026-01-21 00:00:00,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,True,False,Silvie,
112,2026-01-21 00:00:00,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,False,False,True,False,Silvie,
113,2026-01-21 00:00:00,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,False,False,Silvie,
114,2026-01-21 00:00:00,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,False,True,False,False,Angelika,
115,2026-01-21 00:00:00,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,False,False,False,True,Angelika,
116,2026-01-21 00:00:00,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,False,False,Silvie,
117,2026-01-22 00:00:00,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,Pia,
118,2026-01-22 00:00:00,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,True,False,False,False,False,False,False,Pia,
119,2026-01-22 00:00:00,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,,False,False,True,False,False,False,False,,
120,2026-01-22 00:00:00,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,False,False,False,False,Pia,
121,2026-01-22 00:00:00,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,Pia,
122,2026-01-22 00:00:00,True,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,False,False,True,False,Nelly,
123,2026-01-22 00:00:00,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,False,False,True,False,Sophia,
124,2026-01-23 00:00:00,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,True,False,False,False,False,False,False,Hermelinda,
125,2026-01-23 00:00:00,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,True,False,False,False,False,False,False,Hermelinda,GGG-Bibliothek
126,2026-01-23 00:00:00,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,,True,False,False,False,False,False,False,Hermelinda,
127,2026-01-23 00:00:00,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,,True,False,False,False,False,False,False,Hermelinda,
128,2026-01-23 00:00:00,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,,False,True,False,False,False,False,False,Hermelinda,
129,2026-01-23 00:00:00,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,,False,True,False,False,False,False,False,Hermelinda,
130,2026-01-23 00:00:00,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,True,False,False,False,Marina,
131,2026-01-23 00:00:00,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,False,False,True,False,Marina,
132,2026-01-23 00:00:00,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,,False,False,False,False,False,True,False,Marina,
133,2026-01-26 00:00:00,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,Ursula von Gunten,
134,2026-01-26 00:00:00,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,Ursula von Gunten,
135,2026-01-26 00:00:00,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,Ursula von Gunten,
136,2026-01-26 00:00:00,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,Ursula von Gunten,
137,2026-01-26 00:00:00,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,Ursula von Gunten,
138,2026-01-26 00:00:00,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,True,False,False,False,False,Antonina,
139,2026-01-26 00:00:00,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,False,False,False,False,Antonina,
140,2026-01-26 00:00:00,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,False,False,Daniela,
141,2026-01-26 00:00:00,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,True,False,Daniela,
142,2026-01-27 00:00:00,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,,True,False,False,False,False,False,False,Falco,
143,2026-01-27 00:00:00,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,True,False,False,False,False,False,False,Nelly,
144,2026-01-27 00:00:00,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,,True,False,False,False,False,False,False,Pia,
145,2026-01-27 00:00:00,False,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,Pia,
146,2026-01-27 00:00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,,
147,2026-01-27 00:00:00,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,,False,False,True,False,False,False,False,Pia,
148,2026-01-27 00:00:00,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,False,False,False,Nelly,
149,2026-01-27 00:00:00,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,,False,False,False,False,False,True,False,Falco,
150,2026-01-27 00:00:00,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,True,False,Felix,
1,2026-01-05 00:00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,Felix,
2,2026-01-05 00:00:00,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,True,False,False,False,False,False,False,Marco,
3,2026-01-05 00:00:00,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,True,False,False,False,False,False,False,Marco,
4,2026-01-05 00:00:00,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,,True,False,False,False,False,False,False,Felix,
5,2026-01-05 00:00:00,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,,False,True,False,False,False,False,False,Felix,
